Gene,Avg_TPM,Group
ACRV1,3.289189189189189,Without Neoantigen
ACSBG1,0.24444444444444446,Without Neoantigen
ACSBG2,0.8054054054054053,With Neoantigen
ACSF2,4.669444444444445,With Neoantigen
ACSL1,44.86486486486486,Without Neoantigen
ACSL5,1.9388888888888889,With Neoantigen
ACSL6,2.4558823529411766,Without Neoantigen
ACSM1,0.3333333333333333,With Neoantigen
ACSM2A,,Without Neoantigen
ACSM2B,,With Neoantigen
ACSM3,0.3675675675675676,Without Neoantigen
ACSM4,2.72,Without Neoantigen
ACSM5,0.44000000000000006,With Neoantigen
ACSS1,7.0852941176470585,With Neoantigen
ACSS2,17.486486486486488,With Neoantigen
ACSS3,3.3628571428571425,Without Neoantigen
ACTA1,1.1621621621621623,With Neoantigen
ACTB,2651.2702702702704,With Neoantigen
ACTBL2,0.7285714285714285,Without Neoantigen
ACTC1,42.50714285714285,With Neoantigen
ACTG1,2609.2702702702704,Without Neoantigen
ACTL6A,173.6216216216216,Without Neoantigen
ACTL7A,0.14666666666666664,Without Neoantigen
ACTL7B,0.26,With Neoantigen
ACTL8,1.6307692307692305,With Neoantigen
ACTL9,5.05,Without Neoantigen
ACTN1,73.21621621621621,With Neoantigen
ACTN2,2.3708333333333336,Without Neoantigen
ACTN4,235.35135135135135,Without Neoantigen
ACTR1B,92.5945945945946,Without Neoantigen
ACTR2,315.6756756756757,With Neoantigen
ACTR3B,14.486486486486486,Without Neoantigen
ACTR5,31.54054054054054,Without Neoantigen
ACTRT1,0.23846153846153845,With Neoantigen
ACTRT2,,Without Neoantigen
ACVR1,21.027027027027028,With Neoantigen
ACVR1B,40.5945945945946,Without Neoantigen
ACVR1C,6.337142857142856,With Neoantigen
ACVR2A,15.48918918918919,With Neoantigen
ACVR2B,12.756756756756756,Without Neoantigen
ACY3,0.761111111111111,Without Neoantigen
ADAD1,1.8142857142857138,Without Neoantigen
ADAM10,37.45945945945946,With Neoantigen
ADAM11,12.894594594594595,Without Neoantigen
ADAM12,3.77,With Neoantigen
ADAM17,19.91891891891892,Without Neoantigen
ADAM18,,Without Neoantigen
ADAM19,11.020000000000001,Without Neoantigen
ADAM2,0.125,With Neoantigen
ADAM20,0.20857142857142857,With Neoantigen
ADAM21,0.538235294117647,Without Neoantigen
ADAM22,34.627027027027026,With Neoantigen
ADAM23,23.85135135135135,With Neoantigen
ADAM29,0.29,With Neoantigen
ADAM30,0.1,With Neoantigen
ADAM32,0.5405405405405406,With Neoantigen
ADAM33,3.7600000000000002,With Neoantigen
ADAM7,0.43333333333333335,With Neoantigen
ADAM8,1.4432432432432432,With Neoantigen
ADAMDEC1,,With Neoantigen
ADAMTS1,4.499999999999999,With Neoantigen
ADAMTS10,1.6450000000000002,Without Neoantigen
ADAMTS12,0.7655172413793104,With Neoantigen
ADAMTS13,6.875675675675676,With Neoantigen
ADAMTS14,16.21081081081081,With Neoantigen
ADAMTS15,4.8500000000000005,Without Neoantigen
ADAMTS16,0.9393939393939394,With Neoantigen
ADAMTS17,2.996153846153847,Without Neoantigen
ADAMTS18,5.593939393939394,With Neoantigen
ADAMTS19,1.2916666666666667,Without Neoantigen
ADAMTS2,6.786363636363635,With Neoantigen
ADAMTS20,3.32,With Neoantigen
ADAMTS3,4.213333333333333,Without Neoantigen
ADAMTS4,1.9125000000000003,With Neoantigen
ADAMTS5,3.652173913043478,Without Neoantigen
ADAMTS6,1.6222222222222222,With Neoantigen
ADAMTS7,3.1470588235294117,With Neoantigen
ADAMTS8,1.9870967741935481,With Neoantigen
ADAMTS9,0.7695652173913045,With Neoantigen
ADAMTSL1,7.252941176470589,With Neoantigen
ADAMTSL2,20.99677419354839,Without Neoantigen
ADAMTSL3,1.5666666666666664,With Neoantigen
ADAP2,0.4375,With Neoantigen
ADAR,190.54054054054055,With Neoantigen
ADARB1,14.683783783783783,With Neoantigen
ADARB2,5.95483870967742,With Neoantigen
ADAT1,41.945945945945944,Without Neoantigen
ADAT2,10.027027027027026,Without Neoantigen
ADCK1,8.891891891891891,Without Neoantigen
ADCK2,41.91891891891892,Without Neoantigen
ADCY1,46.76756756756757,With Neoantigen
ADCY10,0.4405405405405405,Without Neoantigen
ADCY2,4.444,With Neoantigen
ADCY3,35.67567567567568,Without Neoantigen
ADCY4,0.37307692307692314,With Neoantigen
ADCY5,9.71891891891892,Without Neoantigen
ADCY6,21.486486486486488,Without Neoantigen
ADCY8,5.278571428571429,With Neoantigen
ADCY9,18.972972972972972,With Neoantigen
ADCYAP1,32.353125000000006,With Neoantigen
ADD1,56.054054054054056,With Neoantigen
ADD2,63.42162162162162,Without Neoantigen
ADD3,46.32432432432432,Without Neoantigen
ADGB,0.1,With Neoantigen
ADH1A,0.2076923076923077,Without Neoantigen
ADH1B,0.33999999999999997,Without Neoantigen
ADH4,0.18125000000000002,Without Neoantigen
ADH7,0.14,Without Neoantigen
ADHFE1,0.9411764705882352,With Neoantigen
ADIPOQ,0.10000000000000002,Without Neoantigen
ADIPOR1,196.1891891891892,Without Neoantigen
ADIPOR2,92.35135135135135,With Neoantigen
ADM2,9.935135135135136,With Neoantigen
ADNP,110.21621621621621,Without Neoantigen
ADNP2,53.83783783783784,With Neoantigen
ADORA1,8.9,Without Neoantigen
ADORA2A,1.027027027027027,With Neoantigen
ADORA3,2.0,Without Neoantigen
ADPRH,1.781818181818182,Without Neoantigen
ADPRHL1,5.302702702702703,Without Neoantigen
ADRA1A,0.6444444444444444,With Neoantigen
ADRA2A,13.703030303030303,Without Neoantigen
ADRA2B,0.7750000000000001,With Neoantigen
ADRA2C,8.44848484848485,With Neoantigen
ADRB3,0.10000000000000002,Without Neoantigen
ADRM1,179.59459459459458,Without Neoantigen
ADSL,6.837837837837838,Without Neoantigen
ADTRP,1.0428571428571431,Without Neoantigen
AEBP1,21.243243243243242,Without Neoantigen
AEBP2,23.675675675675677,Without Neoantigen
AEN,30.594594594594593,With Neoantigen
AFAP1,27.27027027027027,Without Neoantigen
AFAP1L2,2.376470588235294,Without Neoantigen
AFF1,36.5945945945946,Without Neoantigen
AFF2,5.7178571428571425,With Neoantigen
AFF3,6.782857142857142,Without Neoantigen
AFF4,55.648648648648646,Without Neoantigen
AFG3L2,55.810810810810814,With Neoantigen
AFM,1.2833333333333334,Without Neoantigen
AFP,1.7227272727272729,Without Neoantigen
AFTPH,39.67567567567568,Without Neoantigen
AGA,18.394594594594594,Without Neoantigen
AGAP1,38.75675675675676,With Neoantigen
AGAP2,4.84054054054054,Without Neoantigen
AGAP3,43.21621621621622,With Neoantigen
AGAP4,4.027027027027027,Without Neoantigen
AGAP5,0.5378378378378378,With Neoantigen
AGAP9,7.943243243243242,With Neoantigen
AGBL1,1.9,Without Neoantigen
AGBL2,2.182857142857143,With Neoantigen
AGBL3,2.481081081081081,With Neoantigen
AGBL4,2.1432432432432433,Without Neoantigen
AGBL5,51.567567567567565,Without Neoantigen
AGFG2,9.864864864864865,Without Neoantigen
AGK,24.324324324324323,With Neoantigen
AGL,60.486486486486484,With Neoantigen
AGMAT,3.065714285714286,Without Neoantigen
AGMO,13.463999999999999,With Neoantigen
AGO1,40.16216216216216,Without Neoantigen
AGO2,61.2972972972973,Without Neoantigen
AGO3,15.18918918918919,Without Neoantigen
AGO4,29.054054054054053,Without Neoantigen
AGPAT1,70.54054054054055,With Neoantigen
AGPS,44.54054054054054,With Neoantigen
AGR2,68.04054054054055,Without Neoantigen
AGR3,30.347826086956523,Without Neoantigen
AGRN,56.06216216216217,With Neoantigen
AGT,64.40882352941175,Without Neoantigen
AGTPBP1,49.21621621621622,With Neoantigen
AGTR2,0.10000000000000002,Without Neoantigen
AGXT2,1.0000000000000002,With Neoantigen
AHCTF1,46.5945945945946,With Neoantigen
AHCY,255.56756756756758,Without Neoantigen
AHCYL2,22.486486486486488,Without Neoantigen
AHDC1,21.486486486486488,Without Neoantigen
AHI1,24.972972972972972,With Neoantigen
AHNAK,39.483783783783785,With Neoantigen
AHNAK2,7.408823529411765,With Neoantigen
AHR,4.386486486486486,Without Neoantigen
AHRR,17.505405405405405,With Neoantigen
AHSG,1.9821428571428572,With Neoantigen
AIDA,28.675675675675677,Without Neoantigen
AIF1,0.16333333333333336,Without Neoantigen
AIFM1,88.10810810810811,Without Neoantigen
AIFM3,1.2555555555555555,With Neoantigen
AIG1,13.737837837837837,With Neoantigen
AIM2,2.227272727272727,Without Neoantigen
AIMP2,67.4054054054054,With Neoantigen
AIPL1,13.991304347826087,Without Neoantigen
AJAP1,3.688888888888888,Without Neoantigen
AJUBA,14.875675675675675,Without Neoantigen
AK2,129.94594594594594,With Neoantigen
AK3,70.24324324324324,With Neoantigen
AK5,9.32,Without Neoantigen
AK8,1.1416666666666666,With Neoantigen
AK9,6.662162162162162,Without Neoantigen
AKAP1,104.0,Without Neoantigen
AKAP11,40.054054054054056,With Neoantigen
AKAP12,59.54324324324324,Without Neoantigen
AKAP13,18.2972972972973,Without Neoantigen
AKAP17A,76.43243243243244,Without Neoantigen
AKAP3,1.6675675675675676,Without Neoantigen
AKAP4,0.1,Without Neoantigen
AKAP5,11.91891891891892,Without Neoantigen
AKAP6,6.300000000000001,With Neoantigen
AKAP7,2.9560000000000004,With Neoantigen
AKAP8,42.45945945945946,Without Neoantigen
AKAP8L,51.4054054054054,Without Neoantigen
AKAP9,40.08108108108108,Without Neoantigen
AKIRIN2,100.13513513513513,With Neoantigen
AKNA,7.340540540540541,Without Neoantigen
AKNAD1,5.646428571428571,Without Neoantigen
AKR1A1,148.8108108108108,Without Neoantigen
AKR1B10,101.28918918918919,Without Neoantigen
AKR1B15,1.86875,With Neoantigen
AKR1C1,14.555555555555555,Without Neoantigen
AKR1C2,35.01351351351352,With Neoantigen
AKR1C3,26.41351351351351,Without Neoantigen
AKR1C4,1.3473684210526315,Without Neoantigen
AKR1D1,0.23333333333333336,Without Neoantigen
AKR1E2,4.095833333333333,Without Neoantigen
AKR7A3,5.856756756756757,Without Neoantigen
AKT1,59.75675675675676,Without Neoantigen
AKT2,49.16216216216216,With Neoantigen
ALAS1,75.70270270270271,With Neoantigen
ALAS2,0.3628571428571428,With Neoantigen
ALB,4.8100000000000005,With Neoantigen
ALCAM,114.35675675675675,With Neoantigen
ALDH16A1,21.324324324324323,With Neoantigen
ALDH18A1,104.75675675675676,Without Neoantigen
ALDH1A2,3.093333333333333,With Neoantigen
ALDH1A3,1.0891891891891892,Without Neoantigen
ALDH1L1,0.55,With Neoantigen
ALDH2,12.172972972972973,Without Neoantigen
ALDH3A1,2.7,With Neoantigen
ALDH3B1,5.297297297297298,Without Neoantigen
ALDH3B2,3.726666666666667,With Neoantigen
ALDH5A1,28.25135135135135,With Neoantigen
ALDH6A1,12.864864864864865,Without Neoantigen
ALDH7A1,13.22121212121212,Without Neoantigen
ALDH8A1,1.6027027027027025,Without Neoantigen
ALDOB,0.37878787878787884,With Neoantigen
ALDOC,27.243243243243242,Without Neoantigen
ALG1,14.567567567567568,Without Neoantigen
ALG10,7.4702702702702695,With Neoantigen
ALG10B,6.359999999999999,Without Neoantigen
ALG13,22.054054054054053,Without Neoantigen
ALG14,3.4054054054054053,Without Neoantigen
ALG2,42.189189189189186,With Neoantigen
ALG3,53.67567567567568,With Neoantigen
ALG8,51.972972972972975,Without Neoantigen
ALG9,9.054054054054054,Without Neoantigen
ALK,2.558620689655172,Without Neoantigen
ALKBH4,24.35135135135135,With Neoantigen
ALKBH6,5.972972972972973,Without Neoantigen
ALLC,0.7424242424242424,With Neoantigen
ALMS1,30.54054054054054,With Neoantigen
ALOX12,2.864864864864865,Without Neoantigen
ALOX12B,0.8875000000000001,Without Neoantigen
ALOX15,0.9321428571428572,Without Neoantigen
ALOX15B,0.20999999999999996,Without Neoantigen
ALOX5AP,1.692857142857143,Without Neoantigen
ALOXE3,0.632,With Neoantigen
ALPI,0.39999999999999997,Without Neoantigen
ALPK1,1.2000000000000002,Without Neoantigen
ALPK2,3.7,With Neoantigen
ALPK3,8.491666666666667,With Neoantigen
ALPL,17.835135135135136,Without Neoantigen
ALPP,0.24666666666666665,With Neoantigen
ALS2,25.945945945945947,Without Neoantigen
ALX1,11.976666666666668,Without Neoantigen
ALX4,1.625,With Neoantigen
AMBN,13.038095238095236,Without Neoantigen
AMBP,1.6437500000000003,With Neoantigen
AMBRA1,27.45945945945946,Without Neoantigen
AMD1,65.37837837837837,With Neoantigen
AMDHD1,1.7277777777777779,Without Neoantigen
AMDHD2,9.54054054054054,With Neoantigen
AMER1,11.391666666666667,Without Neoantigen
AMER2,18.720000000000002,With Neoantigen
AMER3,10.324137931034484,With Neoantigen
AMH,31.599999999999994,Without Neoantigen
AMMECR1,20.486486486486488,Without Neoantigen
AMOT,11.600000000000001,With Neoantigen
AMOTL1,83.11621621621622,Without Neoantigen
AMOTL2,43.491891891891896,With Neoantigen
AMPD1,0.1,Without Neoantigen
AMPD2,33.75675675675676,Without Neoantigen
AMPD3,9.948648648648648,Without Neoantigen
AMPH,22.899999999999995,Without Neoantigen
AMTN,0.5399999999999999,Without Neoantigen
AMY2A,1.7,With Neoantigen
AMY2B,1.5222222222222224,With Neoantigen
AMZ1,0.4444444444444444,Without Neoantigen
ANAPC1,14.297297297297296,Without Neoantigen
ANAPC5,66.32432432432432,With Neoantigen
ANAPC7,72.10810810810811,Without Neoantigen
ANGEL1,33.54054054054054,With Neoantigen
ANGEL2,28.56756756756757,Without Neoantigen
ANGPT1,2.306896551724138,With Neoantigen
ANGPT2,2.7857142857142856,Without Neoantigen
ANGPT4,0.35862068965517235,Without Neoantigen
ANGPTL1,0.8172413793103449,With Neoantigen
ANGPTL3,0.4176470588235293,Without Neoantigen
ANGPTL6,0.6828571428571428,Without Neoantigen
ANGPTL7,2.0033333333333334,Without Neoantigen
ANHX,,Without Neoantigen
ANK1,17.581081081081084,With Neoantigen
ANK2,28.405405405405407,With Neoantigen
ANK3,8.55,Without Neoantigen
ANKAR,2.510810810810811,With Neoantigen
ANKDD1A,7.108108108108108,With Neoantigen
ANKEF1,17.86111111111111,With Neoantigen
ANKFN1,1.5421052631578949,With Neoantigen
ANKHD1,1.9081081081081084,Without Neoantigen
ANKIB1,61.83783783783784,Without Neoantigen
ANKK1,0.48235294117647065,With Neoantigen
ANKLE2,40.83783783783784,Without Neoantigen
ANKMY1,5.378378378378378,With Neoantigen
ANKMY2,34.24324324324324,Without Neoantigen
ANKRA2,22.405405405405407,Without Neoantigen
ANKRD11,36.648648648648646,Without Neoantigen
ANKRD12,21.945945945945947,With Neoantigen
ANKRD13B,53.2972972972973,With Neoantigen
ANKRD13C,31.054054054054053,With Neoantigen
ANKRD13D,23.324324324324323,With Neoantigen
ANKRD17,73.64864864864865,With Neoantigen
ANKRD18A,10.562162162162162,With Neoantigen
ANKRD18B,6.9,With Neoantigen
ANKRD20A1,0.18,With Neoantigen
ANKRD24,5.408108108108109,With Neoantigen
ANKRD26,13.324324324324325,With Neoantigen
ANKRD27,31.37837837837838,With Neoantigen
ANKRD28,22.64864864864865,Without Neoantigen
ANKRD29,2.325925925925926,With Neoantigen
ANKRD30A,0.46666666666666673,With Neoantigen
ANKRD30B,3.5285714285714285,With Neoantigen
ANKRD30BL,0.21818181818181823,With Neoantigen
ANKRD31,0.4766666666666667,Without Neoantigen
ANKRD33B,10.370588235294118,Without Neoantigen
ANKRD34A,3.1135135135135137,Without Neoantigen
ANKRD34C,2.6181818181818177,With Neoantigen
ANKRD35,7.675,Without Neoantigen
ANKRD36,7.1891891891891895,Without Neoantigen
ANKRD36C,6.108108108108108,Without Neoantigen
ANKRD42,7.216216216216216,With Neoantigen
ANKRD45,0.8653846153846155,With Neoantigen
ANKRD50,27.56756756756757,Without Neoantigen
ANKRD52,58.5945945945946,Without Neoantigen
ANKRD55,1.6869565217391302,With Neoantigen
ANKRD6,13.870270270270272,Without Neoantigen
ANKRD60,,Without Neoantigen
ANKRD61,9.567567567567568,Without Neoantigen
ANKRD62,1.0461538461538462,With Neoantigen
ANKS1A,39.189189189189186,Without Neoantigen
ANKS1B,3.608108108108108,With Neoantigen
ANKS3,11.405405405405405,Without Neoantigen
ANKS6,25.245945945945948,Without Neoantigen
ANKZF1,29.45945945945946,Without Neoantigen
ANLN,97.08108108108108,With Neoantigen
ANO1,3.5576923076923075,Without Neoantigen
ANO10,9.664864864864866,With Neoantigen
ANO2,2.761904761904762,Without Neoantigen
ANO3,1.4148148148148152,With Neoantigen
ANO4,8.194444444444445,Without Neoantigen
ANO5,13.18,With Neoantigen
ANO6,49.08378378378378,Without Neoantigen
ANO7,2.602702702702703,With Neoantigen
ANO9,19.894594594594594,With Neoantigen
ANPEP,2.585714285714286,With Neoantigen
ANTXR1,38.87567567567568,With Neoantigen
ANTXR2,11.855555555555556,Without Neoantigen
ANTXRL,0.24285714285714288,With Neoantigen
ANXA1,222.35405405405407,Without Neoantigen
ANXA10,0.6333333333333333,Without Neoantigen
ANXA11,22.027027027027028,Without Neoantigen
ANXA13,12.40434782608696,Without Neoantigen
ANXA2,119.94594594594595,Without Neoantigen
ANXA2R,8.742857142857142,With Neoantigen
ANXA3,4.686486486486486,Without Neoantigen
ANXA6,52.76486486486487,Without Neoantigen
ANXA7,115.10810810810811,Without Neoantigen
ANXA9,15.694594594594596,With Neoantigen
AOC1,3.912121212121212,Without Neoantigen
AOC2,5.967567567567568,Without Neoantigen
AOC3,2.4945945945945946,Without Neoantigen
AOX1,2.531428571428571,Without Neoantigen
AP1B1,74.16216216216216,Without Neoantigen
AP1G1,49.891891891891895,With Neoantigen
AP1G2,22.91891891891892,With Neoantigen
AP1M2,77.32972972972973,With Neoantigen
AP2A1,44.62162162162162,Without Neoantigen
AP2A2,35.45945945945946,With Neoantigen
AP2B1,183.40540540540542,With Neoantigen
AP2M1,297.97297297297297,Without Neoantigen
AP3B1,32.513513513513516,Without Neoantigen
AP3B2,31.572972972972973,Without Neoantigen
AP3D1,113.1891891891892,Without Neoantigen
AP3M2,47.0,Without Neoantigen
AP3S1,46.486486486486484,Without Neoantigen
AP4B1,18.2972972972973,With Neoantigen
AP4M1,25.2972972972973,Without Neoantigen
AP4S1,5.54054054054054,With Neoantigen
AP5B1,18.72972972972973,With Neoantigen
AP5Z1,17.594594594594593,With Neoantigen
APAF1,24.783783783783782,With Neoantigen
APBA1,5.464864864864865,Without Neoantigen
APBA2,27.216216216216218,With Neoantigen
APBA3,12.135135135135135,Without Neoantigen
APBB1,40.972972972972975,Without Neoantigen
APBB1IP,2.0043478260869567,Without Neoantigen
APBB2,31.35135135135135,Without Neoantigen
APBB3,21.81081081081081,Without Neoantigen
APC,21.35135135135135,With Neoantigen
APC2,12.562162162162162,With Neoantigen
APCDD1,6.809375000000001,With Neoantigen
APCDD1L,0.19583333333333333,With Neoantigen
APCS,0.1,With Neoantigen
APEH,69.56756756756756,Without Neoantigen
APEX1,511.7837837837838,Without Neoantigen
APEX2,52.32432432432432,Without Neoantigen
APH1B,17.586486486486486,Without Neoantigen
API5,147.24324324324326,Without Neoantigen
APIP,24.43243243243243,Without Neoantigen
APLF,1.4685714285714286,With Neoantigen
APLNR,0.24285714285714285,Without Neoantigen
APLP1,150.36216216216215,Without Neoantigen
APMAP,263.56756756756755,With Neoantigen
APOA1,0.5941176470588235,Without Neoantigen
APOA4,0.7333333333333334,Without Neoantigen
APOA5,0.15333333333333335,With Neoantigen
APOB,0.6333333333333333,With Neoantigen
APOBEC3A,0.2,Without Neoantigen
APOBEC3B,16.191666666666666,Without Neoantigen
APOBEC3C,10.617142857142857,Without Neoantigen
APOBEC3F,3.164705882352941,Without Neoantigen
APOBR,0.18148148148148144,Without Neoantigen
APOC3,0.13333333333333333,Without Neoantigen
APOD,7.785714285714286,Without Neoantigen
APOF,0.1708333333333333,Without Neoantigen
APOH,3.3052631578947373,Without Neoantigen
APOL1,3.4771428571428573,Without Neoantigen
APOL2,20.54594594594595,Without Neoantigen
APOL3,1.1896551724137931,Without Neoantigen
APOL4,7.558620689655173,Without Neoantigen
APP,455.05405405405406,With Neoantigen
APPBP2,29.64864864864865,With Neoantigen
APPL2,47.108108108108105,With Neoantigen
APRT,106.0,Without Neoantigen
APTX,37.810810810810814,With Neoantigen
AQP1,3.6945945945945944,With Neoantigen
AQP10,0.41999999999999993,With Neoantigen
AQP12A,1.0599999999999998,With Neoantigen
AQP4,2.8740740740740742,Without Neoantigen
AQP6,0.46176470588235297,Without Neoantigen
AQP7,0.24285714285714288,Without Neoantigen
AQP8,0.26071428571428573,Without Neoantigen
AQR,25.2972972972973,With Neoantigen
AR,4.622222222222223,With Neoantigen
ARAF,60.4054054054054,With Neoantigen
ARAP1,33.270270270270274,With Neoantigen
ARAP2,4.518181818181818,With Neoantigen
ARAP3,3.783333333333333,Without Neoantigen
ARC,12.269444444444444,Without Neoantigen
ARCN1,210.64864864864865,Without Neoantigen
AREG,4.177142857142858,With Neoantigen
AREL1,56.810810810810814,Without Neoantigen
ARFGAP2,60.0,With Neoantigen
ARFGAP3,77.13513513513513,Without Neoantigen
ARFGEF1,36.83783783783784,Without Neoantigen
ARFGEF2,45.16216216216216,Without Neoantigen
ARFIP1,32.2972972972973,Without Neoantigen
ARFIP2,48.054054054054056,Without Neoantigen
ARG1,0.6810810810810811,Without Neoantigen
ARG2,34.486486486486484,With Neoantigen
ARGFX,0.823076923076923,With Neoantigen
ARHGAP1,44.891891891891895,Without Neoantigen
ARHGAP10,4.72258064516129,With Neoantigen
ARHGAP11A,72.1891891891892,Without Neoantigen
ARHGAP15,1.1047619047619048,With Neoantigen
ARHGAP17,20.35135135135135,Without Neoantigen
ARHGAP18,9.92162162162162,Without Neoantigen
ARHGAP20,8.219444444444445,With Neoantigen
ARHGAP21,35.91891891891892,With Neoantigen
ARHGAP22,2.7771428571428567,With Neoantigen
ARHGAP23,17.37837837837838,Without Neoantigen
ARHGAP24,4.457142857142857,Without Neoantigen
ARHGAP26,4.018918918918919,Without Neoantigen
ARHGAP27,7.089189189189188,Without Neoantigen
ARHGAP28,2.193333333333334,Without Neoantigen
ARHGAP29,6.972972972972973,Without Neoantigen
ARHGAP30,1.8756756756756754,With Neoantigen
ARHGAP31,3.756756756756756,Without Neoantigen
ARHGAP32,44.16216216216216,With Neoantigen
ARHGAP33,58.32432432432432,With Neoantigen
