Gene,Avg_TPM_Without_Neo,Avg_TPM_With_Neo,Ratio_Without_With,Log2_Ratio,,,,,,,,,,
COL14A1,17.94137931,0.15,0.008360561,-6.902184324,-2.077764569,-2.039193721,-1.861915902,-1.722783447,,,,,,
COL17A1,23.70285714,0.2,0.008437801,-6.888916991,-2.073770703,-2.016113666,-1.856469945,-1.713994268,,,,,,
GRM8,11.74411765,0.1,0.008514901,-6.875794346,-2.069820393,-2.009091177,-1.854306042,-1.712649702,,,,,,
TMEM64,23.39444444,0.2,0.008549038,-6.87002199,-2.068082741,-1.995509839,-1.847709725,-1.704836606,,,,,,
RS1,11.62727273,0.1,0.008600469,-6.861368763,-2.065477859,-1.99524795,-1.847332689,-1.700014272,,,,,,
LGR6,11.578125,0.1,0.008636977,-6.85525766,-2.063638234,-1.992165091,-1.84509804,-1.688488274,,,,,,
NID1,34.66111111,0.3,0.008655233,-6.852211425,-2.062721226,-1.988979016,-1.834014268,-1.685562611,,,,,,
MDFIC,11.50555556,0.1,0.008691453,-6.846186671,-2.060907594,-1.968934633,-1.814592841,-1.680544694,,,,,,
FBXO17,11.23666667,0.1,0.008899436,-6.812070154,-2.050637498,-1.950792506,-1.810040395,-1.671635597,,,,,,
TRIM29,11.204,0.1,0.008925384,-6.807869917,-2.0493731,-1.930394616,-1.805362389,-1.670414544,,,,,,
TMEM255A,11.2,0.1,0.008928571,-6.807354761,-2.049218023,-1.929719372,-1.804660482,-1.648576833,,,,,,
COL8A1,11.2,0.1,0.008928571,-6.807354761,-2.049218023,-1.926930125,-1.792282227,-1.612949334,,,,,,
TSPAN18,11.05714286,0.1,0.009043928,-6.788834675,-2.043642921,-1.921686475,-1.784898131,-1.603770937,,,,,,
NNMT,11.04375,0.1,0.009054895,-6.787086165,-2.043116567,-1.919236623,-1.779957051,-1.594658506,,,,,,
KLHDC7A,10.94444444,0.1,0.009137056,-6.774054755,-2.039193721,-1.917680522,-1.774858975,-1.591528349,,,,,,
APOBEC3C,10.92647059,0.1,0.009152086,-6.771683497,-2.038479901,-1.916199156,-1.774111273,-1.58242864,,,,,,
GYG2,10.85789474,0.1,0.009209889,-6.762600436,-2.035745627,-1.890048234,-1.772756219,-1.567856361,,,,,,
ZNF43,21.11428571,0.2,0.00947226,-6.72207548,-2.023546398,-1.889197916,-1.75520413,-1.539642588,,,,,,
THSD7B,10.21153846,0.1,0.009792844,-6.67405628,-2.009091177,-1.885320826,-1.752549461,-1.538343289,,,,,,
FAAH2,19.79428571,0.2,0.010103926,-6.628940055,-1.995509839,-1.881466176,-1.738841516,-1.509836992,,,,,,
PRRG4,9.891176471,0.1,0.010110021,-6.62807008,-1.99524795,-1.880963945,-1.733516526,-1.509370561,,,,,,
GNAT3,29.24827586,0.3,0.010257015,-6.607245131,-1.988979016,-1.879740818,-1.724503428,-1.507855872,,,,,,
KLHL1,9.378947368,0.1,0.010662177,-6.551353973,-1.972154099,-1.878400839,-1.722783447,-1.507814999,,,,,,
MMP14,36.72777778,0.4,0.010890939,-6.520727665,-1.962934661,-1.877946952,-1.722539909,-1.502882117,,,,,,
POF1B,18.18235294,0.2,0.010999676,-6.506394967,-1.958620088,-1.877119278,-1.713994268,-1.502028606,,,,,,
IGF2BP1,27.20294118,0.3,0.011028219,-6.502656202,-1.957494608,-1.876217841,-1.712649702,-1.49722073,,,,,,
MAFB,9.032352941,0.1,0.011071312,-6.497029826,-1.955800899,-1.874309982,-1.700014272,-1.495870691,,,,,,
GRHL2,17.85757576,0.2,0.011199728,-6.480392303,-1.950792506,-1.863130907,-1.688488274,-1.492185001,,,,,,
VSTM2B,21.60833333,0.25,0.01156961,-6.433515771,-1.936681262,-1.856469945,-1.685562611,-1.491361694,,,,,,
RPS6KA2,17.03823529,0.2,0.011738305,-6.412631986,-1.930394616,-1.854306042,-1.671635597,-1.491361694,,,,,,
DGKI,8.516666667,0.1,0.011741683,-6.412216858,-1.93026965,-1.85340847,-1.670414544,-1.489910012,,,,,,
CREB3L1,8.505882353,0.1,0.01175657,-6.410388873,-1.929719372,-1.851258349,-1.648576833,-1.46978112,,,,,,
ARHGAP20,8.451428571,0.1,0.011832319,-6.401123198,-1.926930125,-1.847709725,-1.6419268,-1.457881897,,,,,,
DENND1C,8.439393939,0.1,0.011849192,-6.399067371,-1.92631126,-1.847332689,-1.612949334,-1.455632339,,,,,,
PASD1,8.435294118,0.1,0.011854951,-6.398366346,-1.92610023,-1.84591588,-1.609899177,-1.45484486,,,,,,
CLDN1,33.4,0.4,0.011976048,-6.383704172,-1.921686475,-1.84509804,-1.606586076,-1.45484486,,,,,,
FAIM2,8.303030303,0.1,0.012043796,-6.375565939,-1.919236623,-1.840158391,-1.603770937,-1.453856061,,,,,,
BARHL1,8.273333333,0.1,0.012087027,-6.370396685,-1.917680522,-1.838639236,-1.601014757,-1.45046906,,,,,,
HAPLN1,8.1,0.1,0.012345679,-6.339849886,-1.908485019,-1.814592841,-1.591528349,-1.448759611,,,,,,
NDST4,7.763333333,0.1,0.012881065,-6.278604217,-1.890048234,-1.810040395,-1.591064607,-1.430767615,,,,,,
EHD2,23.24444444,0.3,0.01290631,-6.275779522,-1.889197916,-1.805362389,-1.585726069,-1.425968732,,,,,,
TFCP2L1,30.71714286,0.4,0.013022044,-6.26290011,-1.885320826,-1.804660482,-1.582924981,-1.417056299,,,,,,
FAM83E,7.611428571,0.1,0.013138138,-6.250095241,-1.881466176,-1.797421437,-1.58242864,-1.401161115,,,,,,
TFAP2B,15.20526316,0.2,0.01315334,-6.248426866,-1.880963945,-1.796968646,-1.572871602,-1.395829217,,,,,,
SORCS2,7.561290323,0.1,0.013225256,-6.240560435,-1.878595914,-1.784898131,-1.572449137,-1.395235987,,,,,,
GC,15.1,0.2,0.013245033,-6.23840463,-1.877946952,-1.779957051,-1.567856361,-1.382467322,,,,,,
COL18A1,7.52,0.1,0.013297872,-6.232660648,-1.876217841,-1.777281792,-1.540051259,-1.382294193,,,,,,
WFDC2,67.38333333,0.9,0.013356419,-6.226322878,-1.874309982,-1.774858975,-1.539642588,-1.372210396,,,,,,
MYRIP,7.478787879,0.1,0.013371151,-6.224732452,-1.873831216,-1.774111273,-1.516114517,-1.363901124,,,,,,
CNTN4,7.296774194,0.1,0.013704686,-6.189186799,-1.863130907,-1.772756219,-1.516087979,-1.359816326,,,,,,
INHBA,7.185714286,0.1,0.013916501,-6.167059564,-1.856469945,-1.77039171,-1.510463765,-1.349471799,,,,,,
PPP2R2B,7.15,0.1,0.013986014,-6.159871234,-1.854306042,-1.769511596,-1.509836992,-1.331999113,,,,,,
RELN,42.81142857,0.6,0.014014949,-6.156889564,-1.85340847,-1.759991422,-1.509370561,-1.330268791,,,,,,
SLC18A3,7.1,0.1,0.014084507,-6.149747017,-1.851258349,-1.756546618,-1.507855872,-1.323231873,,,,,,
GLI3,7.085714286,0.1,0.014112903,-6.146841286,-1.850383637,-1.75520413,-1.507855872,-1.315543972,,,,,,
DLC1,7.057142857,0.1,0.01417004,-6.141012208,-1.848628909,-1.75411301,-1.502882117,-1.295989771,,,,,,
SRGN,35.21111111,0.5,0.014200063,-6.137958746,-1.847709725,-1.753327667,-1.502028606,-1.281601444,,,,,,
GRIA1,10.55416667,0.15,0.014212396,-6.136706259,-1.847332689,-1.752549461,-1.49722073,-1.274927193,,,,,,
MPP7,7,0.1,0.014285714,-6.129282916,-1.84509804,-1.745679098,-1.495870691,-1.274927193,,,,,,
MMP2,20.98333333,0.3,0.014297061,-6.128137465,-1.844753225,-1.738841516,-1.492185001,-1.263805088,,,,,,
COL15A1,6.920833333,0.1,0.014449127,-6.112873758,-1.840158391,-1.735218574,-1.491361694,-1.246672334,,,,,,
BDKRB2,6.896666667,0.1,0.014499758,-6.107827235,-1.838639236,-1.733516526,-1.491361694,-1.245288284,,,,,,
CLIC6,10.09583333,0.15,0.014857615,-6.072653591,-1.828050913,-1.733197265,-1.484774219,-1.243497377,,,,,,
CEP112,6.566666667,0.1,0.015228426,-6.037089224,-1.817344972,-1.724503428,-1.46978112,-1.240133058,,,,,,
KIAA1217,6.457142857,0.1,0.015486726,-6.012823947,-1.810040395,-1.722783447,-1.468456738,-1.224477565,,,,,,
PRAG1,6.397058824,0.1,0.015632184,-5.999336752,-1.805980344,-1.722539909,-1.46724924,-1.191331226,,,,,,
BIN1,19.16388889,0.3,0.015654443,-5.997283951,-1.805362389,-1.717640788,-1.45980828,-1.187207264,,,,,,
ST6GAL1,31.88823529,0.5,0.015679764,-5.994952263,-1.804660482,-1.713994268,-1.457881897,-1.186936861,,,,,,
RPH3A,6.272222222,0.1,0.015943313,-5.970904679,-1.797421437,-1.712649702,-1.455632339,-1.181230899,,,,,,
ENOX1,18.79705882,0.3,0.015959944,-5.96940054,-1.796968646,-1.700014272,-1.45484486,-1.172456975,,,,,,
TLE6,6.217142857,0.1,0.016084559,-5.958179735,-1.793590847,-1.699796445,-1.45484486,-1.169952719,,,,,,
SHANK1,5.988,0.1,0.016700067,-5.90400223,-1.777281792,-1.697631654,-1.45046906,-1.168792021,,,,,,
CA9,11.909375,0.2,0.016793493,-5.895953807,-1.774858975,-1.695822052,-1.442907154,-1.164352856,,,,,,
IQSEC1,17.83333333,0.3,0.01682243,-5.893469994,-1.774111273,-1.688488274,-1.430767615,-1.150171433,,,,,,
OLFML1,5.89375,0.1,0.016967126,-5.881113876,-1.77039171,-1.687231601,-1.425968732,-1.133644461,,,,,,
ABLIM3,5.881818182,0.1,0.017001546,-5.878190199,-1.769511596,-1.685562611,-1.418173764,-1.126641551,,,,,,
NMRAL1,41.08333333,0.7,0.01703854,-5.875054424,-1.768567633,-1.671635597,-1.417056299,-1.125760017,,,,,,
CCNB3,5.708823529,0.1,0.017516744,-5.835121479,-1.756546618,-1.670414544,-1.414137362,-1.123178838,,,,,,
AXL,34.14722222,0.6,0.017570975,-5.830661831,-1.75520413,-1.659815397,-1.410096628,-1.123082638,,,,,,
SPAG6,5.666666667,0.1,0.017647059,-5.824428354,-1.753327667,-1.654629463,-1.401161115,-1.117050224,,,,,,
NRXN2,11.31612903,0.2,0.017673888,-5.822236641,-1.752667895,-1.652989054,-1.395235987,-1.115333096,,,,,,
C1orf127,8.464516129,0.15,0.017721037,-5.818393112,-1.751510878,-1.648576833,-1.389166085,-1.108540863,,,,,,
MEF2C,5.567741935,0.1,0.017960603,-5.799020359,-1.745679098,-1.6419268,-1.382467322,-1.104352206,,,,,,
TBX18,8.296,0.15,0.018081003,-5.789381409,-1.742777484,-1.637775544,-1.382294193,-1.103655016,,,,,,
IL20RA,5.480769231,0.1,0.018245614,-5.776306407,-1.738841516,-1.633171299,-1.381698917,-1.101758157,,,,,,
NGFR,16.30571429,0.3,0.018398458,-5.764271252,-1.735218574,-1.61893864,-1.376576957,-1.091447118,,,,,,
CHI3L1,16.24193548,0.3,0.018470705,-5.758617174,-1.733516526,-1.612949334,-1.372210396,-1.089004157,,,,,,
GGT6,5.41,0.1,0.018484288,-5.757556611,-1.733197265,-1.609899177,-1.367200566,-1.061596071,,,,,,
SYCP2L,5.302777778,0.1,0.018858041,-5.72867631,-1.724503428,-1.608020608,-1.363901124,-1.059778976,,,,,,
TSHR,5.281818182,0.1,0.018932874,-5.722962659,-1.722783447,-1.605889665,-1.359816326,-1.059242916,,,,,,
MAGEC2,52.78857143,1,0.018943494,-5.722153643,-1.722539909,-1.603770937,-1.357776085,-1.050246799,,,,,,
BACH2,5.277777778,0.1,0.018947368,-5.721858626,-1.7224511,-1.601014757,-1.352718354,-1.050008656,,,,,,
ZNF727,5.176,0.1,0.019319938,-5.693765638,-1.713994268,-1.592597864,-1.349471799,-1.049271875,,,,,,
FMO3,15.50714286,0.3,0.019345924,-5.691826513,-1.713410533,-1.591528349,-1.347631128,-1.041392685,,,,,,
RTL1,12.9,0.25,0.019379845,-5.689299086,-1.712649702,-1.586086965,-1.344989946,-1.035000664,,,,,,
CNGA3,5.122727273,0.1,0.019520852,-5.678840108,-1.709501235,-1.582924981,-1.335257257,-1.029121839,,,,,,
CTSL,45.10833333,0.9,0.019951967,-5.647325098,-1.700014272,-1.58242864,-1.334863129,-1.017834038,,,,,,
NOS1,5.00952381,0.1,0.019961977,-5.646601495,-1.699796445,-1.573008194,-1.331999113,-1.010017121,,,,,,
CPA3,4.984615385,0.1,0.020061728,-5.639410213,-1.697631654,-1.572871602,-1.330268791,-1.006530867,,,,,,
AMOTL2,44.675,0.9,0.020145495,-5.633398846,-1.695822052,-1.572449137,-1.323231873,-1.00295105,,,,,,
TRAPPC3L,4.866666667,0.1,0.020547945,-5.604861988,-1.687231601,-1.569937169,-1.322219295,-0.993517873,,,,,,
LRRC43,4.681818182,0.1,0.021359223,-5.548996936,-1.670414544,-1.567856361,-1.315543972,-0.987517305,,,,,,
FLT4,4.581818182,0.1,0.021825397,-5.517848239,-1.661037851,-1.560717222,-1.311361367,-0.985956923,,,,,,
TWIST1,18.27575758,0.4,0.021886918,-5.513787335,-1.659815397,-1.560265398,-1.30547782,-0.980760642,,,,,,
KCNA4,9.029411765,0.2,0.022149837,-5.496560034,-1.654629463,-1.55640302,-1.295989771,-0.980634522,,,,,,
FAAH,26.98611111,0.6,0.022233659,-5.491110713,-1.652989054,-1.554091684,-1.292646917,-0.977723605,,,,,,
S100A4,44.52222222,1,0.022460694,-5.476453634,-1.648576833,-1.549003262,-1.291886616,-0.976022284,,,,,,
LCP1,30.75833333,0.7,0.02275806,-5.457478536,-1.642864759,-1.54750122,-1.288820541,-0.973127854,,,,,,
ARMCX2,39.46111111,0.9,0.022807265,-5.454362704,-1.6419268,-1.540051259,-1.281601444,-0.970036777,,,,,,
EN1,4.342857143,0.1,0.023026316,-5.440572529,-1.637775544,-1.539642588,-1.274927193,-0.966831637,,,,,,
AREG,4.297058824,0.1,0.023271732,-5.42527756,-1.633171299,-1.532754379,-1.274927193,-0.964399325,,,,,,
RASSF8,8.565714286,0.2,0.023348899,-5.420501589,-1.631733589,-1.522528367,-1.267841936,-0.96365668,,,,,,
DAAM2,4.163636364,0.1,0.024017467,-5.37977211,-1.619472793,-1.516114517,-1.266301399,-0.96185237,,,,,,
DOCK5,8.145714286,0.2,0.024552788,-5.347969248,-1.609899177,-1.516087979,-1.263805088,-0.959994838,,,,,,
KRT20,12.20294118,0.3,0.024584237,-5.346122541,-1.609343263,-1.513060843,-1.257723006,-0.958245252,,,,,,
NT5E,10.08857143,0.25,0.024780515,-5.334649936,-1.605889665,-1.509836992,-1.255272505,-0.957641142,,,,,,
ID4,241.0083333,6,0.024895405,-5.327976662,-1.603880809,-1.509370561,-1.253713098,-0.953803606,,,,,,
TSHZ3,4.015789474,0.1,0.024901704,-5.327611676,-1.603770937,-1.507855872,-1.249334266,-0.952047628,,,,,,
CDH3,11.79444444,0.3,0.025435704,-5.297001097,-1.594556234,-1.507855872,-1.248456291,-0.949963712,,,,,,
STEAP2,3.913793103,0.1,0.025550661,-5.290495531,-1.592597864,-1.502882117,-1.246672334,-0.946868912,,,,,,
GPRC5A,15.61666667,0.4,0.025613661,-5.286942681,-1.591528349,-1.502028606,-1.245288284,-0.945213193,,,,,,
NMI,7.74,0.2,0.025839793,-5.274261606,-1.587710965,-1.49722073,-1.240133058,-0.937055953,,,,,,
EPHA8,11.58787879,0.3,0.025889121,-5.271510132,-1.586882689,-1.492185001,-1.227690357,-0.936090247,,,,,,
TRIM55,3.855555556,0.1,0.025936599,-5.268866796,-1.586086965,-1.491361694,-1.224477565,-0.934498452,,,,,,
KCNQ4,7.663888889,0.2,0.026096412,-5.260004685,-1.583419204,-1.491361694,-1.222933131,-0.920818754,,,,,,
LANCL3,3.827586207,0.1,0.026126126,-5.258362911,-1.582924981,-1.490394445,-1.218710518,-0.903089988,,,,,,
USH1C,7.646428571,0.2,0.026156002,-5.256714103,-1.58242864,-1.484774219,-1.208940171,-0.902240926,,,,,,
IKBKE,3.812121212,0.1,0.026232114,-5.252522033,-1.581166701,-1.480767603,-1.201188425,-0.899573414,,,,,,
TRIM22,3.790909091,0.1,0.026378897,-5.2444719,-1.57874337,-1.472024698,-1.194678426,-0.891630365,,,,,,
ADAM19,11.33529412,0.3,0.026466009,-5.23971546,-1.577311539,-1.471981615,-1.191331226,-0.891139059,,,,,,
NEXN,7.538888889,0.2,0.026529108,-5.23627995,-1.576277347,-1.46978112,-1.187207264,-0.890234666,,,,,,
GABBR2,15,0.4,0.026666667,-5.228818636,-1.574031268,-1.46724924,-1.186936861,-0.885464024,,,,,,
OSMR,12.47058824,0.333333333,0.02672956,-5.22542006,-1.573008194,-1.465470332,-1.181230899,-0.883954977,,,,,,
PTGDR,3.74,0.1,0.026737968,-5.224966311,-1.572871602,-1.45980828,-1.180909621,-0.878266404,,,,,,
SLITRK2,3.736363636,0.1,0.02676399,-5.223562912,-1.572449137,-1.457881897,-1.172363387,-0.875382844,,,,,,
SLC6A20,3.714814815,0.1,0.026919242,-5.215218335,-1.569937169,-1.455632339,-1.172316585,-0.8733548,,,,,,
ANO1,3.696,0.1,0.027056277,-5.207892799,-1.567731963,-1.45484486,-1.171935299,-0.871739683,,,,,,
DOCK10,7.354545455,0.2,0.027194067,-5.200564221,-1.565525841,-1.454513464,-1.169952719,-0.868579136,,,,,,
BTBD17,49.97666667,1.366666667,0.027346095,-5.192521313,-1.563104684,-1.45046906,-1.1692248,-0.866156013,,,,,,
AIPL1,14.60909091,0.4,0.027380212,-5.190722542,-1.5625632,-1.446587417,-1.168792021,-0.865301426,,,,,,
GPM6A,32.73103448,0.9,0.027496839,-5.184590336,-1.560717222,-1.445976076,-1.165694159,-0.861488457,,,,,,
PTPRT,12.11,0.333333333,0.027525461,-5.183089408,-1.560265398,-1.442907154,-1.164352856,-0.859883961,,,,,,
IGFBP3,72.01666667,2,0.027771349,-5.170258868,-1.55640302,-1.441411447,-1.163631137,-0.857667471,,,,,,
KCNQ1,10.74516129,0.3,0.027919544,-5.162580776,-1.554091684,-1.439332694,-1.161015491,-0.854835993,,,,,,
SIAH3,3.54,0.1,0.028248588,-5.145677405,-1.549003262,-1.437004032,-1.15350999,-0.850805014,,,,,,
COL4A4,3.516666667,0.1,0.028436019,-5.136136638,-1.546131205,-1.433236303,-1.152118399,-0.849355864,,,,,,
SULF2,17.33888889,0.5,0.028836911,-5.115939496,-1.540051259,-1.431363764,-1.150171433,-0.834632606,,,,,,
IP6K3,3.464516129,0.1,0.02886406,-5.114581918,-1.539642588,-1.430767615,-1.149561212,-0.833454059,,,,,,
IRAK3,6.82,0.2,0.029325513,-5.091699785,-1.532754379,-1.425968732,-1.148763281,-0.827049494,,,,,,
EYA1,18.43125,0.55,0.029840624,-5.06657844,-1.5251921,-1.419556974,-1.141536867,-0.822354914,,,,,,
PDE2A,10.01666667,0.3,0.029950083,-5.061296131,-1.523601967,-1.418173764,-1.139564266,-0.82100375,,,,,,
ADCY8,6.663636364,0.2,0.030013643,-5.058237722,-1.522681294,-1.414137362,-1.133644461,-0.820844322,,,,,,
KLF15,4.972727273,0.15,0.030164534,-5.051002856,-1.520503382,-1.413241939,-1.133248508,-0.8115031,,,,,,
MORC1,3.309090909,0.1,0.03021978,-5.048362974,-1.519708699,-1.412916323,-1.133006358,-0.80403177,,,,,,
SP5,3.281818182,0.1,0.030470914,-5.036423361,-1.516114517,-1.410096628,-1.128881929,-0.801632347,,,,,,
FERMT1,13.12647059,0.4,0.030472776,-5.036335203,-1.516087979,-1.409758275,-1.126641551,-0.799610801,,,,,,
ACVR1C,6.517647059,0.2,0.030685921,-5.026279278,-1.513060843,-1.405792557,-1.125760017,-0.793945518,,,,,,
PCDHB3,6.517647059,0.2,0.030685921,-5.026279278,-1.513060843,-1.395235987,-1.123579441,-0.786711996,,,,,,
SLC5A12,3.244827586,0.1,0.030818278,-5.020069871,-1.511191626,-1.389166085,-1.123178838,-0.785329835,,,,,,
OTOP3,3.23125,0.1,0.030947776,-5.014020424,-1.509370561,-1.38286424,-1.123082638,-0.780407331,,,,,,
ASIC2,3.22,0.1,0.031055901,-5.008988737,-1.507855872,-1.382467322,-1.122367597,-0.777046877,,,,,,
CCND1,32.2,1,0.031055901,-5.008988737,-1.507855872,-1.382294193,-1.117050224,-0.772025698,,,,,,
SLIT1,25.66388889,0.8,0.031172205,-5.003595944,-1.506232479,-1.381698917,-1.116345655,-0.765916794,,,,,,
ARSI,3.183333333,0.1,0.031413613,-4.992466282,-1.502882117,-1.376576957,-1.115333096,-0.764881527,,,,,,
PLIN3,25.41666667,0.8,0.03147541,-4.989630981,-1.502028606,-1.373402454,-1.108540863,-0.762282509,,,,,,
FBLN7,12.56176471,0.4,0.03184266,-4.972895296,-1.496990663,-1.372210396,-1.108070811,-0.760998677,,,,,,
LIMS2,3.133333333,0.1,0.031914894,-4.969626306,-1.496006599,-1.36875162,-1.104674521,-0.757829673,,,,,,
ZNF844,9.317647059,0.3,0.03219697,-4.956931233,-1.492185001,-1.367200566,-1.103655016,-0.754348336,,,,,,
PRL,9.303846154,0.3,0.032244729,-4.954792791,-1.491541266,-1.363901124,-1.101758157,-0.75190608,,,,,,
PTGER3,3.1,0.1,0.032258065,-4.954196266,-1.491361694,-1.359816326,-1.101390615,-0.750122527,,,,,,
LYPD6B,3.1,0.1,0.032258065,-4.954196266,-1.491361694,-1.352718354,-1.091447118,-0.748795857,,,,,,
